model,fold_id,split_policy,test_rows,test_positives,test_negatives,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,mcc
dummy,1,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,2,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,3,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,4,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,5,leakage_aware_group_stratified,591,53,538,0.5,0.08967851099830795,0.5,0.0,0.0,0.0,0.0
logistic_regression,1,leakage_aware_group_stratified,592,54,538,0.9231034007985681,0.6962006754714971,0.8045229244114003,0.5373134328358209,0.6666666666666666,0.5950413223140496,0.5535042401154181
logistic_regression,2,leakage_aware_group_stratified,592,54,538,0.8560512185047501,0.4535413487696195,0.7572628390472256,0.43243243243243246,0.5925925925925926,0.5,0.4479343128188986
logistic_regression,3,leakage_aware_group_stratified,592,54,538,0.8980104639955941,0.6193984789697318,0.8174308137133416,0.45348837209302323,0.7222222222222222,0.5571428571428572,0.5187314885447689
logistic_regression,4,leakage_aware_group_stratified,592,54,538,0.848822800495663,0.471594964976689,0.7812887236679058,0.391304347826087,0.6666666666666666,0.4931506849315068,0.44708635969722377
logistic_regression,5,leakage_aware_group_stratified,591,53,538,0.8956302167356387,0.6446313498366399,0.8205267587851581,0.43333333333333335,0.7358490566037735,0.5454545454545454,0.5097805277412372
random_forest,1,leakage_aware_group_stratified,592,54,538,0.9043783560512185,0.7492474434954067,0.6574074074074074,1.0,0.3148148148148148,0.4788732394366197,0.5427312095886081
random_forest,2,leakage_aware_group_stratified,592,54,538,0.8926407820459866,0.5530643052627668,0.5684978658956354,0.5714285714285714,0.14814814814814814,0.23529411764705882,0.2595775429556227
random_forest,3,leakage_aware_group_stratified,592,54,538,0.9217954013493047,0.7452810740671195,0.6481481481481481,1.0,0.2962962962962963,0.45714285714285713,0.5260693596793256
random_forest,4,leakage_aware_group_stratified,592,54,538,0.888217678645188,0.6927615470303355,0.6574074074074074,1.0,0.3148148148148148,0.4788732394366197,0.5427312095886081
random_forest,5,leakage_aware_group_stratified,591,53,538,0.906659886371607,0.70525946358007,0.6490846601669356,0.8888888888888888,0.3018867924528302,0.4507042253521127,0.49576796944800344
