evidence_package,representation,classifier,k_label,k,precision_at_k,recall_at_k,hits_at_k,enrichment_at_k,base_positive_rate
P-SIGNAL-001,physicochemical_features,dummy,10,10,0.100000,0.003717,1,1.100000,0.090909
P-SIGNAL-001,physicochemical_features,dummy,25,25,0.040000,0.003717,1,0.440000,0.090909
P-SIGNAL-001,physicochemical_features,dummy,50,50,0.020000,0.003717,1,0.220000,0.090909
P-SIGNAL-001,physicochemical_features,dummy,100,100,0.010000,0.003717,1,0.110000,0.090909
P-SIGNAL-001,physicochemical_features,dummy,269,269,0.003717,0.003717,1,0.040892,0.090909
P-SIGNAL-001,physicochemical_features,dummy,top_1_percent,30,0.033333,0.003717,1,0.366667,0.090909
P-SIGNAL-001,physicochemical_features,dummy,top_5_percent,148,0.006757,0.003717,1,0.074324,0.090909
P-SIGNAL-001,physicochemical_features,dummy,top_10_percent,296,0.003378,0.003717,1,0.037162,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,10,10,0.700000,0.026022,7,7.700000,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,25,25,0.880000,0.081784,22,9.680000,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,50,50,0.800000,0.148699,40,8.800000,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,100,100,0.720000,0.267658,72,7.920000,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,269,269,0.468401,0.468401,126,5.152416,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,top_1_percent,30,0.866667,0.096654,26,9.533333,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,top_5_percent,148,0.621622,0.342007,92,6.837838,0.090909
P-SIGNAL-001,physicochemical_features,logistic_regression,top_10_percent,296,0.459459,0.505576,136,5.054054,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,10,10,0.900000,0.033457,9,9.900000,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,25,25,0.920000,0.085502,23,10.120000,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,50,50,0.920000,0.171004,46,10.120000,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,100,100,0.840000,0.312268,84,9.240000,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,269,269,0.509294,0.509294,137,5.602230,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,top_1_percent,30,0.933333,0.104089,28,10.266667,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,top_5_percent,148,0.716216,0.394052,106,7.878378,0.090909
P-SIGNAL-001,physicochemical_features,random_forest,top_10_percent,296,0.489865,0.539033,145,5.388514,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,10,10,0.100000,0.003717,1,1.100000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,25,25,0.040000,0.003717,1,0.440000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,50,50,0.020000,0.003717,1,0.220000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,100,100,0.010000,0.003717,1,0.110000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,269,269,0.003717,0.003717,1,0.040892,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,top_1_percent,30,0.033333,0.003717,1,0.366667,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,top_5_percent,148,0.006757,0.003717,1,0.074324,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,top_10_percent,296,0.003378,0.003717,1,0.037162,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,10,10,1.000000,0.037175,10,11.000000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,25,25,0.920000,0.085502,23,10.120000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,50,50,0.800000,0.148699,40,8.800000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,100,100,0.730000,0.271375,73,8.030000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,269,269,0.546468,0.546468,147,6.011152,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,top_1_percent,30,0.933333,0.104089,28,10.266667,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,top_5_percent,148,0.689189,0.379182,102,7.581081,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,top_10_percent,296,0.520270,0.572491,154,5.722973,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,10,10,0.900000,0.033457,9,9.900000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,25,25,0.880000,0.081784,22,9.680000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,50,50,0.920000,0.171004,46,10.120000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,100,100,0.910000,0.338290,91,10.010000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,269,269,0.635688,0.635688,171,6.992565,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,top_1_percent,30,0.900000,0.100372,27,9.900000,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,top_5_percent,148,0.871622,0.479554,129,9.587838,0.090909
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,top_10_percent,296,0.608108,0.669145,180,6.689189,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,10,10,0.100000,0.003717,1,1.100000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,25,25,0.040000,0.003717,1,0.440000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,50,50,0.020000,0.003717,1,0.220000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,100,100,0.010000,0.003717,1,0.110000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,269,269,0.003717,0.003717,1,0.040892,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,top_1_percent,30,0.033333,0.003717,1,0.366667,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,top_5_percent,148,0.006757,0.003717,1,0.074324,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,top_10_percent,296,0.003378,0.003717,1,0.037162,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,10,10,0.900000,0.033457,9,9.900000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,25,25,0.840000,0.078067,21,9.240000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,50,50,0.760000,0.141264,38,8.360000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,100,100,0.770000,0.286245,77,8.470000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,269,269,0.579926,0.579926,156,6.379182,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,top_1_percent,30,0.800000,0.089219,24,8.800000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,top_5_percent,148,0.682432,0.375465,101,7.506757,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,top_10_percent,296,0.550676,0.605948,163,6.057432,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,10,10,1.000000,0.037175,10,11.000000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,25,25,0.920000,0.085502,23,10.120000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,50,50,0.940000,0.174721,47,10.340000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,100,100,0.920000,0.342007,92,10.120000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,269,269,0.620818,0.620818,167,6.828996,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,top_1_percent,30,0.900000,0.100372,27,9.900000,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,top_5_percent,148,0.844595,0.464684,125,9.290541,0.090909
P-SIGNAL-003,esm2_t30_150m_mean_pooled,random_forest,top_10_percent,296,0.584459,0.643123,173,6.429054,0.090909
